task,metric,positive_class,direction,auroc
rigid_vs_constrained,temporal_volume_3_st_abs_relative_change,rigid_orbit,lower,0.5900562851782364
rigid_vs_constrained,present_lock_barrier_st_over_baseline,rigid_orbit,higher,0.5881801125703565
rigid_vs_constrained,temporal_area_loss_st_abs_relative_change,rigid_orbit,lower,0.5863039399624765
rigid_vs_constrained,proj_line_lock_sl_st_abs_relative_change,rigid_orbit,lower,0.5844277673545967
rigid_vs_constrained,memory_lock_barrier_st_abs_relative_change,rigid_orbit,lower,0.574108818011257
rigid_vs_constrained,baseline_p95_abs_short_long_explanation_imbalance,rigid_orbit,lower,0.5675422138836773
rigid_vs_constrained,baseline_p05_present_transverse_freedom,rigid_orbit,higher,0.5656660412757973
rigid_vs_constrained,baseline_p95_present_lock_barrier,rigid_orbit,lower,0.5656660412757973
rigid_vs_constrained,baseline_p95_proj_line_lock_xl,rigid_orbit,lower,0.5656660412757973
rigid_vs_constrained,baseline_sign_fraction_short_long_explanation_imbalance_positive,rigid_orbit,higher,0.5595684803001876
rigid_vs_constrained,baseline_median_abs_short_long_explanation_imbalance,rigid_orbit,lower,0.5590994371482176
rigid_vs_constrained,baseline_max_abs_short_long_explanation_imbalance_high_run,rigid_orbit,lower,0.5576923076923077
rigid_vs_constrained,memory_lock_barrier_st_over_baseline,rigid_orbit,higher,0.550656660412758
rigid_vs_constrained,proj_line_lock_xl_st_abs_relative_change,rigid_orbit,lower,0.549718574108818
rigid_vs_constrained,baseline_p95_memory_lock_barrier,rigid_orbit,lower,0.5440900562851783
rigid_vs_constrained,baseline_p95_proj_line_lock_sl,rigid_orbit,lower,0.5440900562851783
rigid_vs_constrained,baseline_median_log_temporal_volume_3,rigid_orbit,higher,0.5412757973733584
rigid_vs_constrained,baseline_median_temporal_volume_3,rigid_orbit,higher,0.5412757973733584
rigid_vs_constrained,baseline_p95_temporal_volume_3,rigid_orbit,higher,0.5403377110694184
rigid_vs_constrained,present_transverse_freedom_st_abs_relative_change,rigid_orbit,higher,0.5393996247654784
rigid_vs_constrained,baseline_max_log_temporal_volume_3_low_run,rigid_orbit,lower,0.5375234521575984
rigid_vs_constrained,baseline_median_temporal_volume_3_raw,rigid_orbit,higher,0.5356472795497186
rigid_vs_constrained,baseline_p95_temporal_area_loss,rigid_orbit,lower,0.5328330206378987
rigid_vs_constrained,baseline_median_linger,rigid_orbit,higher,0.5262664165103189
rigid_vs_constrained,baseline_median_novelty,rigid_orbit,lower,0.5262664165103189
rigid_vs_constrained,baseline_median_present_lock_barrier,rigid_orbit,higher,0.5262664165103189
rigid_vs_constrained,baseline_median_present_transverse_freedom,rigid_orbit,lower,0.5262664165103189
rigid_vs_constrained,baseline_median_proj_line_lock_xl,rigid_orbit,higher,0.5262664165103189
rigid_vs_constrained,baseline_median_memory_gap,rigid_orbit,lower,0.5196998123827392
rigid_vs_constrained,present_lock_barrier_st_abs_relative_change,rigid_orbit,higher,0.5196998123827392
rigid_vs_constrained,baseline_p95_temporal_volume_3_raw,rigid_orbit,higher,0.5178236397748592
rigid_vs_constrained,baseline_max_memory_lock_barrier_high_run,rigid_orbit,higher,0.5145403377110694
rigid_vs_constrained,baseline_max_temporal_area_loss_low_run,rigid_orbit,higher,0.5145403377110694
rigid_vs_constrained,abs_short_long_explanation_imbalance_st_abs_relative_change,rigid_orbit,lower,0.5093808630393997
rigid_vs_constrained,baseline_median_memory_align,rigid_orbit,lower,0.5093808630393997
rigid_vs_constrained,baseline_median_memory_lock_barrier,rigid_orbit,lower,0.5093808630393997
rigid_vs_constrained,baseline_median_proj_line_lock_sl,rigid_orbit,lower,0.5093808630393997
rigid_vs_constrained,baseline_median_temporal_area_loss,rigid_orbit,higher,0.5093808630393997
rigid_vs_constrained,baseline_max_present_lock_barrier_high_run,rigid_orbit,lower,0.5075046904315197
rigid_vs_constrained,baseline_max_present_transverse_freedom_low_run,rigid_orbit,lower,0.5075046904315197
